"","site","date","prod_vol_purch","prod_type","prod_vol_avail_upcyc","prod_type_unavail_upcyc","prod_vol_unavail_upcyc","meal_period","meal_swipes","recipe_served","prod_vol_in_recipe","recipe_cost","recipe_servings","displaced_recipe","displaced_recipe_vol","displaced_recipe_cost","displaced_recipe_servings","case_when(...)"
"1","boston university","Oct 23",190,"pineapple",85.75,"tops, skin, cores ",68.75,"Breakfast",978,"pineapple water",1.5,0,16,"lemon water",10,1.42,16,NA
"2","boston university","Oct 23",60,"broccoli stem",7.25,"stem base ",1,"Lunch",2447,"pineapple core vin",5.25,6.53,128,"pineapple vin",1.5,12.99,128,NA
"3","boston university","Oct 23",30,"cilantro",3,"stem",0.5,"Dinner",1755,"",NA,NA,NA,"",NA,NA,NA,NA
"4","boston university","Oct 24",220,"pineapple",99.3,"tops, skin, cores",79.7,"Breakfast",1146,"pineapple water",1.5,0,16,"lime water",10,1.44,16,NA
"5","boston university","Oct 24",60,"broccoli stem",7.7,"stem base",1.1,"Lunch",2153,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"6","boston university","Oct 24",30,"cilantro",3.4,"stem",0.6,"Dinner",1611,"",NA,NA,NA,"",NA,NA,NA,NA
"7","boston university","Oct 25",189,"pineapple",85.3,"tops, skin, cores",68.4,"Breakfast",1003,"pineapple water",1.5,0,16,"cuccumber water",10,1.55,16,NA
"8","boston university","Oct 25",42,"broccoli stem",5.4,"stem base",0.7,"Lunch",2314,"pineapple vin",5.25,6.53,128,"pineapple vin",1.25,12.99,128,NA
"9","boston university","Oct 25",60,"cilantro",6.7,"stem",1.1,"Dinner",1614,"pickled veg salad ",2,1.61,16,"",NA,NA,NA,NA
"10","boston university","Oct 26",NA,"pineapple",NA,"",NA,"Breakfast",1085,"pineapple water",1.5,0,16,"orange water",10,2.6,16,NA
"11","boston university","Oct 26",NA,"broccoli stem",NA,"",NA,"Lunch",2086,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"12","boston university","Oct 26",NA,"cilantro",NA,"",NA,"Dinner",1495,"",NA,NA,NA,"",NA,NA,NA,NA
"13","boston university","Oct 27",NA,"pineapple",NA,"",NA,"Breakfast",885,"pineapple water",1.5,0,16,"lemon water",10,1.42,16,NA
"14","boston university","Oct 27",NA,"broccoli stem",NA,"",NA,"Lunch",2013,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"15","boston university","Oct 27",NA,"cilantro",NA,"",NA,"Dinner",941,"",NA,NA,NA,"",NA,NA,NA,NA
"16","boston university","Oct 30",NA,"pineapple",NA,"",NA,"Breakfast",1060,"pineapple water",1.5,0,16,"orange water",10,2.6,16,NA
"17","boston university","Oct 30",NA,"broccoli stem",NA,"",NA,"Lunch",2290,"pineapple vin",5.25,6.53,128,"pineapple vin",1.5,12.99,128,NA
"18","boston university","Oct 30",NA,"cilantro",NA,"",NA,"Dinner",1642,"",NA,NA,NA,"",NA,NA,NA,NA
"19","boston university","Oct 31",NA,"pineapple",NA,"",NA,"Breakfast",1111,"pineapple water",1.5,0,16,"lemon water",10,1.42,16,NA
"20","boston university","Oct 31",NA,"broccoli stem",NA,"",NA,"Lunch",2098,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"21","boston university","Oct 31",NA,"cilantro",NA,"",NA,"Dinner",1566,"",NA,NA,NA,"",NA,NA,NA,NA
"22","boston university","Nov 1",NA,"pineapple",NA,"",NA,"Breakfast",966,"pineapple water",1.5,0,16,"lime water",10,1.44,16,NA
"23","boston university","Nov 1",NA,"broccoli stem",NA,"",NA,"Lunch",2447,"pineapple vin",5.25,6.53,128,"pineapple vin",2,12.99,128,NA
"24","boston university","Nov 1",NA,"cilantro",NA,"",NA,"Dinner",1681,"",NA,NA,NA,"",NA,NA,NA,NA
"25","boston university","Nov 2",NA,"pineapple",NA,"",NA,"Breakfast",1091,"pineapple water",1.5,0,16,"cuccumber water",10,1.55,16,NA
"26","boston university","Nov 2",NA,"broccoli stem",NA,"",NA,"Lunch",2122,"pineapple vin",5.25,6.53,128,"pineapple vin",1.25,12.99,128,NA
"27","boston university","Nov 2",NA,"cilantro",NA,"",NA,"Dinner",1513,"",NA,NA,NA,"",NA,NA,NA,NA
"28","boston university","Nov 3",NA,"pineapple",NA,"",NA,"Breakfast",969,"pineapple water",1.5,0,16,"orange water",10,2.6,16,NA
"29","boston university","Nov 3",NA,"broccoli stem",NA,"",NA,"Lunch",1977,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"30","boston university","Nov 3",NA,"cilantro",NA,"",NA,"Dinner",938,"",NA,NA,NA,"",NA,NA,NA,NA
"31","boston university","Nov 6",NA,"pineapple",NA,"",NA,"Breakfast",1014,"pineapple water",1.5,0,16,"cuccumber water",10,1.55,16,NA
"32","boston university","Nov 6",NA,"broccoli stem",NA,"",NA,"Lunch",2396,"pineapple vin",5.25,6.53,128,"pineapple vin",1.5,12.99,128,NA
"33","boston university","Nov 6",NA,"cilantro",NA,"",NA,"Dinner",1708,"",NA,NA,NA,"",NA,NA,NA,NA
"34","boston university","Nov 7",NA,"pineapple",NA,"",NA,"Breakfast",1107,"pineapple water",1.5,0,16,"orange water",10,2.6,16,NA
"35","boston university","Nov 7",NA,"broccoli stem",NA,"",NA,"Lunch",2214,"",5.25,6.53,128,"pineapple vin",1.5,12.99,128,NA
"36","boston university","Nov 7",NA,"cilantro",NA,"",NA,"Dinner",1796,"",NA,NA,NA,"",NA,NA,NA,NA
"37","boston university","Nov 8",NA,"pineapple",NA,"",NA,"Breakfast",1011,"pineapple water",1.5,0,16,"lemon water",10,1.42,16,NA
"38","boston university","Nov 8",NA,"broccoli stem",NA,"",NA,"Lunch",2413,"",5.25,6.53,128,"pineapple vin",1.75,12.99,128,NA
"39","boston university","Nov 8",NA,"cilantro",NA,"",NA,"Dinner",1673,"",NA,NA,NA,"",NA,NA,NA,NA
"40","boston university","Nov 9",NA,"pineapple",NA,"",NA,"Breakfast",1114,"pineapple water",1.5,0,16,"lime water",10,1.44,16,NA
"41","boston university","Nov 9",NA,"broccoli stem",NA,"",NA,"Lunch",2202,"",5.25,6.53,128,"pineapple vin",1.25,12.99,128,NA
"42","boston university","Nov 9",NA,"cilantro",NA,"",NA,"Dinner",1534,"",NA,NA,NA,"",NA,NA,NA,NA
"43","boston university","Nov 10",NA,"pineapple",NA,"",NA,"Breakfast",1007,"pineapple water",1.5,0,16,"cuccumber water",10,1.55,16,NA
"44","boston university","Nov 10",NA,"broccoli stem",NA,"",NA,"Lunch",2115,"",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"45","boston university","Nov 10",NA,"cilantro",NA,"",NA,"Dinner",945,"",NA,NA,NA,"",NA,NA,NA,NA
